spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
eth_usd,0.009543500439435798,3,3.1759928269077378,this_week,730.1409,737.109,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.009166056928751701,3,3.0347334701288347,this_week,1535.9058,1549.984,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
ltc_usd,0.009035305940354257,3,2.9872673307068713,this_week,154.4386,155.834,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.008123457463228928,10,1.3435405787680652,next_week,9122.9997,9197.11,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.004775874321249775,3,1.7854697843957363,this_week,9122.9997,9166.57,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.0019793100478569183,10,1.074841719973108,next_week,67.3467,67.48,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.16651405106271658,51,3.0110804955809827,quarter,17.5823,20.51,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
etc_usd,0.14261713734792564,51,2.596495667375983,quarter,20.9519,23.94,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
ltc_usd,0.142408719204968,51,2.5931079964056556,quarter,154.5095,176.513,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btg_usd,0.13026186426477374,51,2.4021235278391058,quarter,67.4357,76.22,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
bch_usd,0.12804357056707383,51,2.3685856957388354,quarter,1535.532,1732.147,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
xrp_usd,0.1264338187910813,51,2.344501205527632,quarter,0.7759,0.874,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
eth_usd,0.10816282172386182,51,2.085555104989042,quarter,730.1409,809.115,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
eos_usd,0.047132627699447815,10,5.371081703900659,next_week,17.5823,18.411,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
ltc_usd,0.04429177493940506,10,4.864047371706667,next_week,154.5095,161.353,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
etc_usd,0.04000114548083948,10,4.185374691883371,next_week,20.9519,21.79,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
xrp_usd,0.03234952957855395,10,3.1965160829872237,next_week,0.7759,0.801,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btc_usd,0.026143463214796492,51,1.2028589698993668,quarter,9114.6417,9352.93,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btg_usd,0.021714017945984227,3,13.64806727235909,this_week,67.4357,68.9,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
bch_usd,0.020537507521823095,10,2.1001844368394846,next_week,1535.532,1567.068,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
eth_usd,0.0195689626481683,10,2.0286453611130937,next_week,730.1409,744.429,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
xrp_usd,0.01817244490269365,3,8.945328552731162,this_week,0.7759,0.79,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
eos_usd,0.015225539320794287,3,6.286974423063806,this_week,17.5823,17.85,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
etc_usd,0.011316396126365707,3,3.9317951666067095,this_week,20.9519,21.189,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
eth_usd,0.008914854653396337,3,2.9441922047458498,this_week,730.1409,736.65,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
ltc_usd,0.008436374462411602,3,2.779080457833512,this_week,154.5095,155.813,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
bch_usd,0.008310474806125803,3,2.737183598986344,this_week,1535.532,1548.293,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btc_usd,0.007108156538945482,10,1.2950249516326762,next_week,9114.6417,9179.43,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btc_usd,0.005001655742539988,3,1.8349514011852917,this_week,9114.6417,9160.23,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
btg_usd,0.0006569220753993343,10,1.024259367863046,next_week,67.4357,67.48,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07,2018-05-09 17:07
